lsoa_code,borough,major_category,minor_category,value,year,month
E01003127,Lambeth,Robbery,Personal Property,0,2009,8
E01002354,Havering,Burglary,Burglary in a Dwelling,1,2013,5
E01000009,Barking and Dagenham,Robbery,Business Property,0,2012,10
E01002836,Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,11
E01002620,Hounslow,Violence Against the Person,Harassment,2,2015,12
E01000023,Barking and Dagenham,Criminal Damage,Other Criminal Damage,0,2014,12
E01002151,Harrow,Violence Against the Person,Other violence,0,2012,3
E01000407,Bexley,Violence Against the Person,Harassment,0,2009,5
E01002274,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,4
E01002785,Islington,Theft and Handling,Other Theft Person,0,2013,5
E01004060,Southwark,Burglary,Burglary in a Dwelling,2,2013,7
E01000860,Camden,Other Notifiable Offences,Other Notifiable,0,2010,10
E01003423,Merton,Violence Against the Person,Other violence,0,2014,5
E01002618,Hounslow,Violence Against the Person,Common Assault,0,2016,10
E01003491,Newham,Criminal Damage,Criminal Damage To Other Building,0,2013,10
E01003023,Lambeth,Theft and Handling,Handling Stolen Goods,0,2008,12
E01003858,Richmond upon Thames,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,4
E01001673,Greenwich,Theft and Handling,Other Theft,0,2014,2
E01001183,Croydon,Violence Against the Person,Offensive Weapon,0,2008,11
E01002137,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,1
E01003920,Southwark,Criminal Damage,Other Criminal Damage,0,2016,6
E01004552,Wandsworth,Sexual Offences,Other Sexual,0,2015,12
E01033583,Newham,Theft and Handling,Handling Stolen Goods,0,2011,9
E01001787,Hackney,Violence Against the Person,Offensive Weapon,0,2016,7
E01003153,Lambeth,Theft and Handling,Other Theft,3,2011,4
E01002667,Hounslow,Violence Against the Person,Offensive Weapon,0,2015,10
E01003297,Lewisham,Violence Against the Person,Offensive Weapon,0,2016,2
E01000247,Barnet,Violence Against the Person,Murder,0,2016,3
E01003482,Newham,Violence Against the Person,Other violence,0,2012,2
E01004397,Waltham Forest,Other Notifiable Offences,Going Equipped,1,2009,2
E01003841,Richmond upon Thames,Other Notifiable Offences,Going Equipped,0,2008,7
E01004590,Wandsworth,Drugs,Drug Trafficking,0,2013,9
E01000990,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,3,2010,12
E01002448,Hillingdon,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01004169,Sutton,Criminal Damage,Criminal Damage To Motor Vehicle,1,2008,2
E01003966,Southwark,Violence Against the Person,Assault with Injury,1,2014,10
E01003358,Merton,Drugs,Drug Trafficking,0,2008,7
E01001167,Croydon,Burglary,Burglary in a Dwelling,3,2011,6
E01003472,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,8
E01004131,Sutton,Violence Against the Person,Harassment,0,2015,9
E01001268,Ealing,Violence Against the Person,Harassment,0,2010,5
E01001478,Enfield,Violence Against the Person,Assault with Injury,0,2009,12
E01002544,Hillingdon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,8
E01001489,Enfield,Robbery,Personal Property,0,2011,1
E01003755,Redbridge,Other Notifiable Offences,Other Notifiable,0,2011,2
E01002527,Hillingdon,Violence Against the Person,Harassment,0,2014,12
E01033708,Hackney,Violence Against the Person,Common Assault,0,2008,2
E01003422,Merton,Drugs,Drug Trafficking,0,2013,12
E01001970,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,1,2012,8
E01001855,Hammersmith and Fulham,Robbery,Business Property,0,2013,5
E01003585,Newham,Theft and Handling,Handling Stolen Goods,0,2016,5
E01000984,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,10
E01000977,Croydon,Violence Against the Person,Assault with Injury,0,2009,1
E01002061,Haringey,Burglary,Burglary in a Dwelling,4,2009,7
E01004365,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,1,2014,3
E01000628,Brent,Theft and Handling,Theft From Motor Vehicle,0,2014,7
E01001886,Hammersmith and Fulham,Violence Against the Person,Assault with Injury,0,2010,8
E01004605,Wandsworth,Criminal Damage,Other Criminal Damage,0,2011,10
E01004124,Sutton,Other Notifiable Offences,Going Equipped,0,2015,8
E01003055,Lambeth,Theft and Handling,Other Theft,9,2015,5
E01000675,Bromley,Theft and Handling,Theft From Motor Vehicle,2,2016,9
E01000751,Bromley,Violence Against the Person,Offensive Weapon,0,2012,7
E01002282,Havering,Criminal Damage,Criminal Damage To Motor Vehicle,2,2014,8
E01000453,Bexley,Drugs,Possession Of Drugs,0,2014,4
E01004410,Waltham Forest,Drugs,Possession Of Drugs,0,2015,12
E01003896,Richmond upon Thames,Theft and Handling,Theft From Motor Vehicle,0,2012,6
E01000569,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,10
E01003210,Lewisham,Violence Against the Person,Offensive Weapon,0,2013,10
E01004498,Wandsworth,Theft and Handling,Theft From Shops,0,2010,7
E01002093,Haringey,Violence Against the Person,Offensive Weapon,0,2014,11
